NewCreditCustomer,VerificationType,LanguageCode,Age,Gender,Country,Amount,Interest,LoanDuration,MonthlyPayment,UseOfLoan,Education,MaritalStatus,NrOfDependants,EmploymentStatus,EmploymentDurationCurrentEmployer,EmploymentPosition,WorkExperience,OccupationArea,HomeOwnershipType,IncomeFromPrincipalEmployer,IncomeFromPension,IncomeFromFamilyAllowance,IncomeFromSocialWelfare,IncomeFromLeavePay,IncomeFromChildSupport,IncomeOther,IncomeTotal,ExistingLiabilities,LiabilitiesTotal,RefinanceLiabilities,DebtToIncome,FreeCash,AmountOfPreviousLoansBeforeLoan,PreviousRepaymentsBeforeLoan,PreviousEarlyRepaymentsBefoleLoan,PreviousEarlyRepaymentsCountBeforeLoan,Defaulted
1,3.0,6,43,0.0,1,1025.0,31.12,60,236.45,8,4.0,3.0,0,3.0,0,,1,3.0,2.0,2000.0,0.0,0.0,0,0,0,0.0,2000.0,3,1240.0,0,43.82,523.55,0.0,0.0,0.0,0.0,1
1,1.0,1,24,1.0,0,2760.0,46.92,60,125.91,2,4.0,2.0,0,3.0,1,,3,9.0,1.0,500.0,0.0,0.0,0,0,0,0.0,500.0,2,340.0,0,43.18,34.09,0.0,0.0,0.0,0.0,0
1,3.0,4,51,0.0,2,2700.0,17.95,60,77.49,0,4.0,4.0,0,3.0,6,,5,6.0,2.0,1750.0,0.0,0.0,0,0,0,0.0,1750.0,3,950.0,0,28.71,722.51,0.0,0.0,0.0,0.0,0
0,1.0,6,45,0.0,1,1260.0,50.18,60,149.65,2,3.0,1.0,3,6.0,6,,1,1.0,8.0,0.0,530.0,0.0,83,0,0,100.0,713.0,3,491.81,0,24.75,71.54,485.0,97.41,0.0,0.0,0
1,3.0,3,30,0.0,0,1060.0,25.83,12,103.47,6,5.0,3.0,0,3.0,0,,0,10.0,7.0,924.0,0.0,0.0,0,0,0,0.0,924.0,2,600.0,0,43.67,220.53,0.0,0.0,0.0,0.0,0
1,1.0,6,52,0.0,1,2220.0,27.66,12,996.73,3,5.0,1.0,1,4.0,0,,1,10.0,1.0,3500.0,380.0,0.0,0,0,0,0.0,3880.0,1,1164.0,0,25.69,1719.27,0.0,0.0,0.0,0.0,1
1,3.0,6,25,0.0,1,1130.0,32.0,36,0.0,7,3.0,3.0,0,3.0,2,,3,13.0,2.0,766.0,0.0,0.0,0,0,0,0.0,766.0,2,650.0,1,6.79,330.0,0.0,0.0,0.0,0.0,1
1,3.0,1,44,1.0,0,3000.0,30.34,60,107.69,2,4.0,3.0,1,3.0,0,,5,17.0,1.0,466.0,0.0,0.0,0,0,0,0.0,466.0,4,386.0,1,26.54,2.31,0.0,0.0,0.0,0.0,1
1,4.0,1,55,1.0,0,4000.0,16.0,60,108.94,0,4.0,4.0,0,3.0,4,,5,1.0,4.0,624.0,170.0,0.0,0,0,0,0.0,794.0,3,509.0,2,13.72,435.06,0.0,0.0,0.0,0.0,0
1,1.0,1,66,1.0,0,1400.0,35.0,36,68.58,0,3.0,5.0,0,3.0,3,,5,14.0,1.0,350.0,365.0,0.0,0,0,0,0.0,715.0,4,799.0,1,30.57,246.42,0.0,0.0,0.0,0.0,0
1,3.0,4,51,0.0,2,3185.0,36.77,36,154.18,7,3.0,1.0,4,3.0,0,,5,7.0,4.0,2085.0,0.0,0.0,0,0,0,0.0,2085.0,2,675.0,0,9.79,1255.82,0.0,0.0,0.0,0.0,1
1,4.0,1,28,0.0,0,4000.0,17.0,48,0.0,2,2.0,1.0,1,3.0,2,,3,19.0,2.0,573.0,0.0,0.0,0,0,0,0.0,573.0,3,169.0,0,20.07,289.0,0.0,0.0,0.0,0.0,0
0,4.0,1,43,1.0,0,600.0,20.0,24,129.69129099251387,0,5.0,1.0,1,3.0,0,,5,15.0,1.0,500.0,0.0,0.0,0,0,0,19.0,519.0,5,650.0,4,5.97,84.0,3450.469,2365.2575,0.0,0.0,0
1,4.0,4,25,1.0,2,7440.0,55.97,36,455.21,0,3.0,2.0,0,5.0,0,,0,18.0,8.0,2231.0,0.0,0.0,0,0,0,0.0,2231.0,11,2906.75,2,53.88,9.86,0.0,0.0,0.0,0.0,1
